->apsoros|absoros
Ge|
FG|
Lw|inrogo|in-rogō (irr-)|āvī|||In law, to propose in opposition||||inrogo
YO|
PO|
WW|||inrogo, inrogavi|inrogo, inrogatum
->irroro|inroro
LS|inroro|inrōro|āvi, ātum, 1||v. n. and a.|to wet, moisten with dew, to bedew.|irroro|(
GG|inroro|inrōro|āvi, ātum, āre||tr. intr.|tr. / int. / rendre humide, asperger / répandre sur [avec dat.] / int., tomber en rosée sur [avec dat.] / [abst] verser de la pluie|irroro|inr-
GJ|inroro|inroro|āre, āvi, ātum|- intr. - 1 - produire de la rosée, faire pleuvoir. - 2 - distiller. - 3 - couvrir de rosée, mouiller, arroser, baigner. - 4 - verser, répandre.
Ge|
FG|
Lw|inroro|in-rōrō (irr-)|āvī, ātus, āre|||to bedew||||inroro
YO|
PO|
WW||||
->irructo|inructo
LS|inructo|inructo|āre||v. a.|to belch into|irructo|(
GG|inructo|inructo|āre||intr.|int., roter|irructo|inr-
GJ|inructo|inructo|āre, āvi, ātum|- intr. - roter sur, roter dans.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->irrumator|inrumator
LS|inrumator|inrŭmātor|ōris|m.||one who practises beastly obscenity|irrumator|(
GG|
GJ|inrumator|inrŭmātŏr|ōris, m.|- 1 - Firm. un homme obscène. - 2 - Catul. un homme vil, un bougre.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->irruptio|inruptio
LS|
GG|inruptio|inruptio|ōnis|f.|subst.|irruption, invasion|irruptio|in-
GJ|inruptio|inruptio|ōnis, f.|irruption, invasion, attaque.
Ge|
FG|
Lw|inruptio|inruptiō (irr-)|ōnis|f||a breaking in, invasion, incursion||||inruptio
YO|
PO|
WW||||
->irrutilo|inrutilo
LS|inrutilo|inrŭtĭlo|āvi, 1||v. n.|to glimmer redly, to be ruddy|irrutilo|(
GG|
GJ|inrutilo|inrutilo|āre, āvi|- intr. - rougir.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->occaeco|obcaeco
LS|obcaeco|obcaeco|āvi, ātum, 1||v. a.|to make blind, to blind, to deprive of sight.|occaeco|(
GG|obcaeco|obcaeco|āvi, ātum, āre||tr.|frapper de cécité, aveugler / aveugler = empêcher de voir / rendre obscur, cacher (la lumière) / paralyser / [fig.] rendre obscur, inintelligible / [moralt]|occaeco|ob-
GJ|obcaeco|obcaeco|āre, āvi, ātum|- tr. - 1 - frapper de cécité, priver de la vue, aveugler. - 2 - aveugler (l'esprit), troubler. - 3 - paralyser. - 4 - rendre obscur, obscurcir. - 5 - recouvrir (de terre); combler (un fossé).
Ge|
FG|
Lw|
YO|
PO|obcaeco|obcaeco_, obcaeca_re, obcaeca_vi_, obcaeca_tum : v1
WW||||
->occallatus|obcallatus
LS|obcallatus|obcallātus|a, um||adj.|rendered callous, indurated, blunted|occallatus|(
GG|obcallatus|obcallātus|a, um||adj.|rendu insensible, endurci|occallatus|ob-
GJ|obcallatus|obcallatus|a, um|devenu insensible, endurci.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->occallesco|obcallesco
LS|obcallesco|obcallesco|lui, 3||v. inch. n.|to get a thick skin; to grow, become callous.|occallesco|(
GG|obcallesco|obcallesco|callŭi, ĕre||intr.|int., devenir calleux, dur / [fig.] devenir insensible, s'endurcir|occallesco|ob-
GJ|obcallesco|obcallesco|ĕre, callui|- intr. - 1 - devenir dur, devenir calleux. - 2 - s'endurcir, devenir insensible.
Ge|
FG|
Lw|
YO|
PO|obcallesco|obcalle_sco_, obcalle_scere, obcallui_ : v3
WW||||
->occulco|obculco
LS|obculco|obculco|āvi, ātum, 1||v. a.|to tread, trample down|occulco|(
GG|obculco|obculco|āre||tr.|tr., fouler avec les pieds|occulco|ob-
GJ|obculco|obculco|āre|- tr. - fouler aux pieds, piétiner.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->offigo|obfigo
LS|obfigo|obfīgo|xi, xum, 3||v. a.|to drive in, fix in, fasten|offigo|(
GG|obfigo|obfīgo|fixi, fixum, ĕre||tr.|tr., ficher, attacher à|offigo|ob-
GJ|obfigo|obfīgo|ĕre, fixi, fixum|- tr. - attacher, clouer, fixer à.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->offirmate|obfirmate
LS|obfirmate|obfirmātē|||adv.|firmly, stubbornly|offirmate|(
GG|obfirmate|obfirmātē|||adv.|avec opiniâtreté|offirmate|ob-
GJ|obfirmate|obfirmatē|adv.|avec opiniâtreté, obstinément.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->offirmatus|obfirmatus
LS|obfirmatus|obfirmātus|a, um||P. a.|firm, resolute, obstinate, Comp., Adv.|offirmatus|(
GG|
GJ|obfirmatus|obfirmatus|a, um|part. passé de offirmo; constant, ferme, résolu, obstiné.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->offlecto|obflecto
LS|obflecto|obflecto|ĕre||v. a.|to turn about|offlecto|(
GG|obflecto|obflecto|ĕre||tr.|tr., tourner, détourner|offlecto|ob-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->offrenatus|obfrenatus
LS|obfrenatus|obfrēnātus|a, um|||bridled;, curbed, tamed|offrenatus|(
GG|obfrenatus|obfrēnātus|a, um||adj.|bridé, dompté, maîtrisé|offrenatus|ob-
GJ|obfrenatus|obfrenatus|a, um|(Lebaigue P. 859) dompté, maîtrisé, bridé.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->offringo|obfringo
LS|obfringo|obfringo|ēgi, actum, 3||v. a.|to plough a second time; to cross-plough|offringo|(
GG|obfringo|obfringo|frēgi, fractum, ĕre||tr.|tr., labourer une deuxième fois|offringo|ob-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW|||obfringo, obfregi|obfringo, obfractum
-|obfusus
LS|obfusus|obfūsus|a, um||||offusus|(
GG|obfusus|obfūsus|a, um||part.|part. p. de offundo|offusus|ob-
GJ|obfusus|obfusus|a, um|part. passé de offundo. - 1 - répandu devant, répandu autour. - 2 - couvert, rempli de.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->opporto|obporto
LS|obporto|obporto|āre|||to bring|opporto|(
GG|obporto|obporto|āre||tr.|tr., porter devant|opporto|obp-
GJ|obporto|obporto|āre|- tr. - porter devant.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->opprobro|obprobro
LS|obprobro|obprō̆bro|no perf., ātum, 1||v. a.|to reproach, taunt, upbraid|opprobro|(
GG|obprobro|obprŏbro|āre||tr.|tr., reprocher|opprobro|ob-
GJ|obprobro|obprobro|āre, ātum|- tr. - reprocher.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->oppugnator|obpugnator
LS|obpugnator|obpugnātor|ōris|m.||an assaulter, attacker, assailant|oppugnator|(
GG|
GJ|obpugnator|obpugnator|oris, m.|qui attaque, assiégeant, assaillant.
Ge|
FG|
Lw|
YO|
PO|obpugnator|obpugna_tor, obpugna_to_ris : m
WW||||
-|obsessus
LS|obsessus|obsessus|a, um||||obsessus|0
GG|obsessus|obsessus|a, um||part.|part. p. de obsideo|obsessus|
GJ|obsessus|obsessus|a, um|part. passé de obsideo.
Ge|
FG|obsessus|obsessus a um, participe de obsideo et de obsido.
Lw|obsessus|obsessus||||P. of obsideo||||obsessus
YO|
PO|
WW||||
->succentivus|subcentivus
LS|
GG|subcentivus|subcentīvus||||v. succ-.|subcentivus|
GJ|subcentivus|subcentīvus|a, um|qui accompagne (t. de musique).
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|subcretus
LS|
GG|subcretus|subcrētus|||part.|part. p. de subcerno.|subcretus|
GJ|subcretus|subcrētus|a, um|part. passé de subcerno.
Ge|
FG|subcretus|subcretus a um, participe de subcerno.
Lw|
YO|
PO|
WW||||
->succrotillus|subcrotillus
LS|subcrotillus|subcrotillus|a, um||adj.|thin, slender, delicate|succrotillus|(
GG|subcrotillus|subcrŏtillus|a, um|||v. succr-.|subcrotillus|
GJ|subcrotillus|subcrŏtillus|a, um|v. succr-.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->succursor|subcursor
LS|subcursor|subcursor|ōris|m.||a helper, succorer|succursor|(
GG|subcursor|subcursor||||v. succursor.|subcursor|
GJ|subcursor|subcursor||v. succursor.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suffarcino|subfarcino
LS|subfarcino|subfarcĭno|āvi, ātum, 1||v. a.|to stuff full, to cram|suffarcino|(
GG|subfarcino|subfarcĭno|āvi, ātum, āre||tr.|tr., charger, surcharger ; surt. au part. suffarcinatus, chargé, surchargé / bien rempli, repu, lesté|suffarcino|subf-
GJ|subfarcino|subfarcĭno|āre, ātum|- tr. - charger, combler (de présents).
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suffibulum|subfibulum
LS|
GG|subfibulum|subfībŭlum|i|n.|subst.|voile des vestales et de certains prêtres|suffibulum|subf-
GJ|subfibulum|subfibulum|i, n.|voile blanc (que les vestales et certains prêtres portaient lors d'un sacrifice).
Ge|
FG|
Lw|
YO|
PO|
WW||||
->sufflo|subflo
LS|subflo|subflo|āvi, ātum, 1||v. a. and n.|Act., to blow forth from below; to blow up, puff out, inflate.|sufflo|(
GG|subflo|subflo||||v. suff-.|subflo|subflo
GJ|subflo|subflo|āre, āvi, ātum|- intr. - souffler (sur); gonfler (d'air).
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suffossio|subfossio
LS|subfossio|subfossĭo|ōnis|f.||a digging under, undermining, mines|suffossio|(
GG|subfossio|subfossĭo|ōnis|f.|subst.|creusement, excavation|suffossio|subf-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suffragatio|subfragatio
LS|subfragatio|subfrāgātĭo|ōnis|f.||a voting for one, in one's favor, interest, favor, support, suffrage, gen. - obj.|suffragatio|(
GG|
GJ|subfragatio|subfragātĭo|ōnis, f.|- 1 - appui donné à un candidat, suffrage, vote (favorable). - 2 - appui, recommandation, approbation, protection.
Ge|
FG|
Lw|
YO|
PO|subfragatio|subfra_ga_tio_, subfra_ga_tio_nis : f
WW||||
->suffrico|subfrico
LS|subfrico|subfrĭco|āre||v. a.|to rub underneath, to rub down, rub, wipe off|suffrico|(
GG|subfrico|subfrĭco|āre||tr.|frotter légèrement|suffrico|subf-
GJ|subfrico|subfrico||c. suffrico
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suffrigidus|subfrigidus
LS|subfrigidus|subfrīgĭdus|a, um||adj.|rather cold, frigid, Adv.|suffrigidus|(
GG|
GJ|subfrigidus|subfrigidus|a, um|un peu froid.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suffringo|subfringo
LS|subfringo|subfringo|ĕre||v. a.|to break below, to break|suffringo|(
GG|subfringo|subfringo|frēgi, fractum, ĕre||tr.|rompre en bas, briser par le bas|suffringo|subf
GJ|subfringo|subfringo|fringere, frēgi, fractum|- tr. - rompre par le bas, briser par le bas.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suffugio|subfugio
LS|subfugio|subfŭgĭo|fūgi, 3||v. n. and a.|to flee away|suffugio|(
GG|
GJ|subfugio|subfŭgĭo|ĕre, fūgi, fŭgĭtum|- intr. - 1 - se mettre à couvert sous, se réfugier sous. - 2 - tr. - se dérober à, se soustraire, échapper à.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suffulcio|subfulcio
LS|subfulcio|subfulcĭo|fulsi, fultum, 4||v. a.|to prop underneath, to underprop, prop up, support|suffulcio|(
GG|subfulcio|subfulcĭo|fulsi, fultum, īre||tr.|soutenir, étayer|suffulcio|subf-
GJ|subfulcio|subfulcio|īre, fulsi, fultum|- tr. - soutenir, étayer, maintenir.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suffulgeo|subfulgeo
LS|subfulgeo|subfulgĕo|ēre, 2||v. n.|to gleam, shine beneath|suffulgeo|(
GG|subfulgeo|subfulgĕo|ēre||intr.|int., briller dessous|suffulgeo|subf-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suffumigo|subfumigo
LS|subfumigo|subfūmĭgo|āre||v. a.|to fumigate from below, to suffumigate, med., Absol.|suffumigo|(
GG|subfumigo|subfūmĭgo|āre||tr.|tr., fumiger, exposer à la fumée|suffumigo|subf-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suffuror|subfuror
LS|subfuror|subfūror|āri||v. dep. n.|to steal secretly, to steal away, filch|suffuror|(
GG|subfuror|subfūror|āri||tr.|tr., dérober furtivement|suffuror|subf-
GJ|subfuror|subfuror|āri|dérober furtivement, voler en cachette.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suffuscus|subfuscus
LS|subfuscus|subfuscus|a, um||adj.|somewhat brown, brownish, dusky|suffuscus|(
GG|subfuscus|subfuscus|a, um|||un peu brun [de peau], un peu basané|subfuscus|
GJ|subfuscus|subfuscus|a, um|brun de teint, basané.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suffusio|subfusio
LS|subfusio|subfūsĭo|ōnis|f.||a pouring, spreading into, among, a pouring over, a suffusion|suffusio|(
GG|subfusio|subfūsĭo|ōnis|f.|subst.|suffusion, épanchement par-dessous / seul, cataracte / action de verser, infusion|suffusio|subf-
GJ|subfusio|subfusio|ōnis, f.|- 1 - action de verser, épanchement par-dessous, infusion. - 2 - rougeur du visage, confusion, trouble, honte.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suggestio|subgestio
LS|subgestio|subgestĭo|ōnis|f.||an adding to, addition|suggestio|(
GG|subgestio|subgestio|ōnis|f.|subst.|action d'ajouter, addition / [fig. rhét.] = subjectio, suggestion / avis, suggestion|suggestio|subg-
GJ|subgestio|subgestio|ōnis, f.|- 1 - addition graduelle. - 2 - suggestion, conseil, avis, insinuation, instigation.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->sugglutio|subglutio
LS|subglutio|subglūtĭo|īre||v. n.|to hiccup a little|sugglutio|(
GG|subglutio|subglūtĭo|īre||tr.|tr., avaler difficilement|? subglutio|
GJ|subglutio|subglutĭo|īre|Veg. avaler difficilement.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suggrandis|subgrandis
LS|subgrandis|subgrandis|e||adj.|rather large|suggrandis|(
GG|subgrandis|subgrandis|e|||assez grand|subgrandis|
GJ|subgrandis|subgrandis|e|un peu grand.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suggrunda|subgrunda
LS|subgrunda|subgrunda|ae|f.||the lower border of a roof, the eaves|suggrunda|(
GG|subgrunda|subgrunda|ae|f.|subst.|avant-toit, entablement|subgrunda|subgrunda
GJ|subgrunda|subgrunda|ae, f.|avant-toit, auvent, entablement, larmier.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suggrundarium|subgrundarium
LS|subgrundarium|subgrundārĭum|ii|n.||the grave of a child less than forty days old|suggrundarium|(
GG|subgrundarium|subgrundārĭum|ĭi|n.||auvent pour une sépulture de petit enfant|subgrundarium|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->suggrunnio|subgrunnio
LS|subgrunnio|subgrunnĭo|īre||v. n.|to grunt a little|suggrunnio|(
GG|subgrunnio|subgrunnĭo|īre||intr.|int., grogner un peu|subgrunnio|
GJ|subgrunnio|subgrunnĭo|īre|- intr. - grogner un peu.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->summanes|submanes
LS|Submanes|Submānes|ĭum|m.||a kind of inferior deities|Summanes|(
GG|submanes|submānes||||v. summ-.|submanes|submānes
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->summano|submano
LS|submano|submāno|āre||v. a. and n.||summano|(
GG|submano|submano||||v. summ-.|submanes|submano
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->summanus|submanus
LS|Submanus|Submānus|i|m.||a Roman deity to whom nocturnal lightnings were asscribed, Pluto, offered in sacrifice to Summanus|Summanus|(
GG|
GJ|Submanus|Submānus|i, m.|Arn. Summanus (dieu des ténèbres ou des Mânes, qui présidait aux phénomènes atrmosphériques de la nuit, notamment aux éclairs nocturnes et à la rosée).
Ge|
FG|
Lw|
YO|
PO|
WW||||
->summoenium|submoenium
LS|Submoenium|Submoenĭum|ii|n.||a place in Rome, probably near the walls, the resort of vile characters|Summoenium|(
GG|
GJ|Submoenium|Submoenium|ii, n.|Summemmium (quartier derrière les remparts, un endroit de Rome, qui était mal fréquenté).
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|submotus
LS|submotus|submōtus|a, um||||summotus|(
GG|submotus|submōtus|a, um||part.|part. de submoveo.|submotus|submōtus
GJ|submotus|submōtus|a, um|part. passé de summoveo (submoveo). - 1 - écarté, éloigné. - 2 - repoussé (par les armes). - 3 - banni, exilé, relégué. - 4 - reculé, enfoncé, profond.
Ge|
FG|submotus|submotus (summ-) a um, participe de submoveo.
Lw|
YO|
PO|
WW||||
->summussus|submussus
LS|
GG|submussus|submussus|i|m.|subst.|sub, musso), celui qui marmotte entre ses dents|submussus|submussus
GJ|submussus|submussus|i, m. [sub + musso]|celui qui marmotte entre ses dents.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->accenseo|adcenseo
LS|
GG|adcenseo|adcensĕo|censum, ēre||tr.|tr., mettre au nombre de, rattacher à, alicui, alicui rei, à qqn, à qqch|accenseo|adcensĕo
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->acclivitas|adclivitas
LS|
GG|adclivitas|adclīvĭtās|ātis|f.|subst.|montée, pente en montée / hauteur, colline|acclivitas|adcl-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->accommodate|adcommodate
LS|
GG|adcommodate|adcommŏdātē||||[avec ad|accommodate|adcom-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->accommodatio|adcommodatio
LS|
GG|adcommodatio|adcommŏdātĭo|ōnis|f.|subst.|appropriation / esprit d'accommodement|accommodatio|adcom-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->accommodatus|adcommodatus
LS|
GG|adcommodatus|adcommŏdātus|a, um||part. adj.|adj., approprié à|accommodatus|adcom-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->accorporo|adcorporo
LS|adcorporo|adcorpŏro|āre||v. a.|to incorporate, to fit, join to|accorporo|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adcretus
LS|
GG|
GJ|adcretus|adcrētus|a, um|part. passé de accresco.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->accumulate|adcumulate
LS|adcumulate|adcŭmŭlāte|||adv.||accumulate|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->accumulatio|adcumulatio
LS|adcumulatio|adcŭmŭlātĭo|ōnis|f.||a heaping up, the heaping up of earth round the roots of plants|accumulatio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->accumulo|adcumulo
LS|adcumulo|adcŭmŭlo|āvi, ātum, 1||v. a.|to add to a heap, to heap up, accumulate, to augment by heaping up|accumulo|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW|||adcumulo, adcumulavi|adcumulo, adcumulatum
->affluente|adfluente
LS|adfluente|adflŭente|||||affluo|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adforem
LS|
GG|adforem|adfŏrem||||v. adsum.|adforem|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->aggar|adgar
LS|
GG|Adgar|Adgar||||v. Agar 2.|Adgar|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->aggeratio|adgeratio
LS|adgeratio|adgĕrātĭo|ōnis|f.||a heaping up;, that which is heaped up, a mole, dike|aggeratio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adl
LS|
GG|
GJ|
Ge|adl|adl.||
FG|
Lw|
YO|
PO|
WW||||
->allenimentum|adlenimentum
LS|adlenimentum|adlēnīmentum|i|n.||a soothing remedy|allenimentum|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->alligati|adligati
LS|adligati|adlĭgāti||||slaves that are fettered|alligo|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appango|adpango
LS|adpango|adpango|ĕre||v. a.|to fasten to|appango|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW|||adpango, adpegi|adpango, adpactum
->apparenter|adparenter
LS|
GG|
GJ|adparenter|adpārentĕr|adv.|Boet. manifestement.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apparentia|adparentia
LS|adparentia|adpārentĭa|ae|f.||a becoming visible, appearing, appearance, the external appearance|apparentia|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appectoro|adpectoro
LS|adpectoro|adpectŏro|āre||v. a.|to press to the breast|appectoro|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW|||adpectoro, adpectoravi|adpectoro, adpectoratum
->appendeo|adpendeo
LS|
GG|
GJ|adpendeo|adpendĕo|ēre|- 1 - tr. - suspendre. - 2 - intr. - peser. - 3 - être incertain.
Ge|
FG|
Lw|
YO|
PO|
WW|||adpendeo, adpendi|
-|adpensus
LS|adpensus|adpensus|a, um||||appensus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appetibilis|adpetibilis
LS|adpetibilis|adpĕtībĭlis|e||adj.|worthy of desire, desirable|appetibilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||adpetibilis, adpetibilis||
->appetitorius|adpetitorius
LS|
GG|
GJ|adpetitorius|adpĕtītōrĭus|a, um|Dion. qui cherche.
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adplicaturus
LS|
GG|adplicaturus|adplĭcātūrus|a, um||part.|part. fut. de applico.|applicaturus|adp-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->applosus|adplosus
LS|adplosus|adplōsus|a, um||||applosus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->applumbatus|adplumbatus
LS|
GG|adplumbatus|adplumbātus|a, um||adj.|plombé|applumbatus|adp-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apposite|adposite
LS|adposite|adpŏsĭtē|||adv.||apposite|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appositio|adpositio
LS|adpositio|adpŏsĭtĭo|ōnis|f.||a setting before.|appositio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appositum|adpositum
LS|adpositum|adpŏsĭtum|i|n.|P. a.||appositum|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adpressus
LS|
GG|
GJ|adpressus|adpressus|a, um|part. passé de apprimo; pressé contre.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->approbatus|adprobatus
LS|
GG|adprobatus|adprobātus|a, um||part.|part. de approbo.|approbatus|adp-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adproperatus
LS|
GG|adproperatus|adprŏpĕrātus|a, um||part.|part. de appropero.|approperatus|adp-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appropriatio|adpropriatio
LS|adpropriatio|adprō̆prĭātĭo|ōnis|f.||a making one's own, appropriation|appropriatio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->approprio|adproprio
LS|adproprio|adprō̆prĭo|āre||v. n.|to make one's own, to appropriate|approprio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW|||adproprio, adpropriavi|adproprio, adpropriatum
->appuli|adpuli
LS|
GG|adpuli|adpŭli||||parf. de appello 2|appuli|adp-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->arreptus|adreptus
LS|adreptus|adreptus|a, um||P. a.||arreptus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->ascensor|adscensor
LS|adscensor|adscensor|ōris|m.||one that ascends|ascensor|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adscriptus
LS|adscriptus|adscriptus|a, um||||ascriptus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adsentiae
LS|
GG|adsentiae|adsentĭae||||adsentationes|adsentiae|adsentĭae
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adsiduissime
LS|adsiduissime|adsĭdŭissimē|||adv.||assiduus2|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->assimilanter|adsimilanter
LS|adsimilanter|adsĭmĭlanter|||adv.||assimilanter|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->assistrix|adsistrix
LS|
GG|adsistrix|adsistrix||||v. adsestrix.|adsistrix|adsistrix
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->associetas|adsocietas
LS|
GG|adsocietas|adsŏcĭĕtās|ātis|f.|subst.|association|adsocietas|adsŏcĭĕtās
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->assolido|adsolido
LS|
GG|adsolido|adsŏlĭdo|āre||tr.|tr., consolider|adsolido|adsŏlĭdo
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->assonatio|adsonatio
LS|
GG|adsonatio|adsŏnātĭo|ōnis|f.|subst.|accord de sons|adsonatio|adsŏnātĭo
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->assonus|adsonus
LS|
GG|adsonus|adsŏnus|a, um||adj.|qui fait accord avec|adsonus|adsŏnus
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->aspiramentum|adspiramentum
LS|
GG|
GJ|adspiramentum|adspīrāmentum|i, n.|souffle.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->aspirativus|adspirativus
LS|
GG|
GJ|adspirativus|adspīrātīvus|a, um|aspiré; lettre aspirée.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->astrido|adstrido
LS|adstrido|adstrīdo|ĕre||v. n.|to hiss at|astrido|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->assumptor|adsumptor
LS|
GG|adsumptor|adsumptŏr|ōris|m.|subst.|celui qui s'approprie|adsumptor|adsumptŏr
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->assumptrix|adsumptrix
LS|
GG|adsumptrix|adsumptrix|īcis|f.|subst.|celle qui s'approprie|adsumptrix|adsumptrix
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adsurrexi
LS|
GG|
GJ|
Ge|
FG|adsurrexi|adsurrexi (ass-), parfait de adsurgo.
Lw|
YO|
PO|
WW||||
->attamino|adtamino
LS|adtamino|adtāmĭno|āre||v. a.|to touch;, to attack, rob, to dishonor, contaminate, defile|attamino|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->attempto|adtempto
LS|adtempto|adtempto|āvi, ātum, 1||v. a.|to strive after, to attempt, essay, try, make trial of; to solicit; to assail, attack, temptata, to seek to defile, pollute|attento|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW|||adtempto, adtemptavi|adtempto, adtemptatum
->attermino|adtermino
LS|
GG|adtermino|adtermĭno|āre|||circonscrire, limiter|adtermino|adtermĭno
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW|||adtermino, adterminavi|adtermino, adterminatum
-|adterui
LS|
GG|adterui|adtĕrŭi||||v. adtero|adterui|adtĕrŭi
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->attestatio|adtestatio
LS|
GG|adtestatio|adtestātĭo|ōnis|f.|subst.|attestation|adtestatio|adtestātĭo
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->attestator|adtestator
LS|
GG|adtestator|adtestātŏr|ōris|m.|subst.|celui qui atteste|adtestator|adtestātŏr
GJ|
Ge|
